model,task,policy_type,latency_ms_mean,latency_ms_std,latency_ms_p50,latency_ms_p95,latency_ms_cv,ttft_ms_mean,ttft_ms_std,ttft_ms_p50,ttft_ms_p95,ttft_ms_cv,tbt_mean_ms_mean,tbt_mean_ms_std,tbt_mean_ms_p50,tbt_mean_ms_p95,tbt_mean_ms_cv,energy_Wh_mean,energy_Wh_std,energy_Wh_p50,energy_Wh_p95,energy_Wh_cv,carbon_g_mean,carbon_g_std,carbon_g_p50,carbon_g_p95,carbon_g_cv,stability_score,policy_effectiveness
DeepSeek-R1-Distill-Qwen-1.5B,NLU,baseline,1389.5276225770783,156.2570727801402,1377.3128915640502,1646.1295756738407,0.11245337641459695,208.42914338656175,23.43856091702103,206.59693373460752,246.9194363510761,0.11245337641459695,24.10405059572483,2.7105818747575343,23.8921624046825,28.555308965770706,0.11245337641459696,0.005173171315721623,0.0009693128981181688,0.005273255278449912,0.006487280665362658,0.1873730520333553,0.00232792709207473,0.00043619080415317583,0.0023729648753024603,0.002919276299413196,0.1873730520333553,0.7693334880058119,
DeepSeek-R1-Distill-Qwen-1.5B,NLU,saip,771.5481737569572,234.8787455816484,710.9211474826781,1351.778997842789,0.304425249868632,115.73222606354358,35.23181183724726,106.6381721224017,202.76684967641836,0.304425249868632,24.668657914448573,2.912361730130587,24.587269890123295,29.882991376660346,0.1180591883121781,0.0029386914729074808,0.001086559617261712,0.002647705031638832,0.004968490924263889,0.36974266515521353,0.0013224111628083663,0.0004889518277677704,0.0011914672642374742,0.0022358209159187496,0.3697426651552136,0.5973116501792216,0.32597500109178457
DeepSeek-R1-Distill-Qwen-1.5B,QA,baseline,1411.4797936118016,147.21405222032868,1395.7247699397321,1653.270553403021,0.10429766893341505,211.72196904177025,22.082107833049296,209.3587154909598,247.99058301045312,0.10429766893341501,24.4848535626537,2.553713150760804,24.211552131607597,28.67918306923608,0.10429766893341506,0.0051776471979700575,0.0010385226564477415,0.005152759706428831,0.006872103628230666,0.20057810367127824,0.002329941239086526,0.00046733519540148366,0.0023187418678929745,0.0030924466327038,0.20057810367127824,0.7663564769877492,
DeepSeek-R1-Distill-Qwen-1.5B,QA,saip,1132.834867329756,291.5925587517951,1156.8446530473275,1568.8634616642055,0.25740076260109995,169.92523009946345,43.73888381276926,173.52669795709915,235.32951924963078,0.25740076260109984,25.73521411316523,3.18894851303238,25.73072424001202,30.694714268321416,0.12391381315149137,0.004154622740698875,0.0012913143472102265,0.003884105875973636,0.00625002251647586,0.3108138639305206,0.0018695802333144932,0.0005810914562446022,0.0017478476441881363,0.0028125101324141372,0.31081386393052074,0.6376678186018925,0.3095888129707017
DeepSeek-R1-Distill-Qwen-1.5B,Summarization,baseline,1581.5940894612193,150.88355580981514,1571.7856683150299,1813.8135925290094,0.09539967101243697,237.23911341918287,22.63253337147227,235.76785024725447,272.0720388793514,0.09539967101243699,27.43581583759257,2.61736780486414,27.26566975648521,31.46411333978894,0.095399671012437,0.005993873175877538,0.0012561462203510457,0.006012910699735174,0.008172677729091584,0.20957170488798982,0.0026972429291448907,0.0005652657991579705,0.0027058098148808286,0.003677704978091212,0.2095717048879899,0.7663003330705263,
DeepSeek-R1-Distill-Qwen-1.5B,Summarization,saip,1244.4350833728508,163.65105550955266,1224.4658498700724,1591.919541939143,0.1315063016915286,186.66526250592761,24.5476583264329,183.66987748051082,238.78793129087148,0.1315063016915286,40.82639992825963,8.515660999448142,40.20113131899427,54.890634445314696,0.20858221676199487,0.004763000440801323,0.0011858953513068605,0.0047616173505664276,0.007037992330948851,0.24898073515763658,0.0021433501983605953,0.0005336529080880873,0.0021427278077548926,0.003167096548926983,0.2489807351576366,0.7243820284487482,0.3409741904166147
EXAONE-3.5-2.4B-Instruct,NLU,baseline,1331.7546354325102,135.3173940481321,1333.4338815328529,1547.5478503271806,0.10160835220534857,199.76319531487653,20.297609107219813,200.01508222992794,232.13217754907708,0.10160835220534858,23.101866124849668,2.347342549814537,23.130995904141326,26.845217811798037,0.1016083522053486,0.006204556330778973,0.001169128048037396,0.006252783008714669,0.008044631408883677,0.18843056388056256,0.0027920503488505386,0.0005261076216168283,0.0028137523539216013,0.003620084133997655,0.1884305638805625,0.7751704134896069,
EXAONE-3.5-2.4B-Instruct,NLU,saip,720.8809986912759,142.75885137251564,706.5899206542332,894.7807304926921,0.19803386638250603,108.13214980369138,21.413827705877345,105.98848809813498,134.2171095739038,0.19803386638250606,31.229486174429972,3.369871661508492,31.37592577767877,36.965076797146665,0.10790672772156173,0.0034726719996445604,0.0009530571434819067,0.0033574418197125,0.004696130200573837,0.2744449068554287,0.0015627023998400524,0.000428875714566858,0.001510848818870625,0.002113258590258227,0.27444490685542866,0.6791269376338996,0.4405264056276803
EXAONE-3.5-2.4B-Instruct,QA,baseline,1370.9927132646533,148.77817394761084,1349.1960172626946,1626.6589646797408,0.1085185738101666,205.64890698969805,22.31672609214163,202.3794025894042,243.99884470196113,0.10851857381016658,23.782526658672563,2.5808458746014127,23.404420707618172,28.21755346893428,0.10851857381016658,0.0061720974478441885,0.001344615959657304,0.006141334619706746,0.008428860385310108,0.21785397444218194,0.002777443851529885,0.0006050771818457869,0.0027636005788680357,0.003792987173389549,0.21785397444218194,0.7539359897923229,
EXAONE-3.5-2.4B-Instruct,QA,saip,674.3710428897496,124.24508957610654,633.3650917155876,874.388492996154,0.18423847062546383,101.15565643346243,18.63676343641598,95.00476375733814,131.1582739494231,0.18423847062546383,26.9144342630956,3.2709346185393575,26.94958993706704,32.91013639838585,0.12153087025962055,0.0030806347136131335,0.0007118294262700666,0.0029693055569168054,0.004111756941481436,0.2310658330001076,0.0013862856211259097,0.00032032324182153,0.0013361875006125624,0.001850290623666646,0.23106583300010766,0.7065618308644365,0.45050666996846883
